Iteration	Posterior	Likelihood	Prior	rate_log_sd	tree_length
0	-200.9966	-363.6855	162.6889	1.677635	0.8434083
6	-205.5765	-366.8353	161.2588	0.7097377	2.606566
12	-217.6195	-378.6376	161.0182	0.9184395	2.626308
18	-216.2553	-376.6089	160.3536	0.8416596	3.076006
24	-219.33	-381.0881	161.7581	1.932838	1.453243
30	-212.4733	-374.85	162.3767	2.151342	0.5354548
36	-206.5707	-369.1033	162.5326	1.997434	0.5153819
42	-223.4783	-386.0337	162.5554	1.974004	0.4767048
48	-206.1286	-368.3954	162.2668	1.973929	0.9828034
54	-230.5573	-393.0052	162.4479	1.973929	0.7706581
60	-230.688	-392.1265	161.4385	2.773535	1.011573
66	-232.5246	-394.8902	162.3657	2.134908	0.3874873
72	-216.7521	-379.5918	162.8397	1.569887	0.7877484
78	-220.3738	-383.2135	162.8397	1.569887	0.7877484
84	-227.8797	-389.9441	162.0644	1.215887	1.752069
90	-222.4779	-384.5423	162.0644	1.215887	1.752069
96	-208.0665	-369.5993	161.5328	1.024597	2.235319
102	-215.5732	-378.0249	162.4517	0.7271581	1.822478
108	-209.6351	-371.7908	162.1556	0.7221905	2.025924
114	-214.9252	-376.5794	161.6542	1.351778	1.940238
120	-220.8705	-383.1433	162.2728	1.905885	1.044017
126	-246.7211	-407.5525	160.8314	1.515274	2.369935
132	-236.8939	-399.9403	163.0465	1.483422	0.517646
138	-235.5657	-398.3377	162.7721	1.450271	1.001315
144	-227.8525	-390.3717	162.5192	1.450271	1.231022
150	-222.6954	-384.9132	162.2178	1.27175	1.603008
156	-198.1669	-360.3827	162.2158	0.965337	1.820894
162	-224.4256	-386.4586	162.033	1.264707	1.739858
168	-224.8117	-387.4099	162.5982	1.823022	0.7715554
174	-229.786	-392.4378	162.6518	1.854776	0.6175822
180	-225.7071	-388.1992	162.4921	1.937273	0.759784
186	-235.7161	-398.7189	163.0028	1.351941	0.8577185
192	-231.9676	-393.5493	161.5817	2.122721	1.442986
198	-222.1924	-382.4628	160.2704	0.9278248	3.074215
204	-233.9716	-396.7121	162.7404	1.025403	1.395555
210	-247.731	-410.5398	162.8088	1.550782	0.8519124
216	-227.5096	-389.6997	162.19	1.612204	1.367007
222	-221.7636	-384.0921	162.3285	1.825624	1.06739
